Symbol,Company Name,Index Weight
EA,ELECTRONIC ARTS INC,0.073148
HUM,HUMANA INC,0.072934
WAB,WABTEC CORP,0.072348
KDP,KEURIG DR PEPPER INC,0.071899
CVNA,CARVANA CO,0.070661
UAL,UNITED AIRLINES HOLDINGS INC,0.069896
DHI,DR HORTON INC,0.069391
IDXX,IDEXX LABORATORIES INC,0.068848
VTR,VENTAS INC,0.068501
RSG,REPUBLIC SERVICES INC,0.068469
YUM,YUM  BRANDS INC,0.068213
BDX,BECTON DICKINSON AND CO,0.067979
CMG,CHIPOTLE MEXICAN GRILL INC,0.067663
PEG,PUBLIC SERVICE ENTERPRISE GP,0.0659
XYZ,BLOCK INC,0.065896
TTWO,TAKE TWO INTERACTIVE SOFTWRE,0.065696
ADSK,AUTODESK INC,0.065558
ED,CONSOLIDATED EDISON INC,0.065346
AMP,AMERIPRISE FINANCIAL INC,0.064401
VMC,VULCAN MATERIALS CO,0.063913
MSCI,MSCI INC,0.063899
CBRE,CBRE GROUP INC   A,0.06366
AIG,AMERICAN INTERNATIONAL GROUP,0.063393
ODFL,OLD DOMINION FREIGHT LINE,0.063351
IBKR,INTERACTIVE BROKERS GRO CL A,0.063307
SYY,SYSCO CORP,0.062658
IRM,IRON MOUNTAIN INC,0.062339
PYPL,PAYPAL HOLDINGS INC,0.061813
WEC,WEC ENERGY GROUP INC,0.061254
A,AGILENT TECHNOLOGIES INC,0.060819
PCG,P G + E CORP,0.060557
GRMN,GARMIN LTD,0.060096
JBL,JABIL INC,0.059858
PRU,PRUDENTIAL FINANCIAL INC,0.05943
AXON,AXON ENTERPRISE INC,0.059292
CCL,CARNIVAL CORP LTD,0.058963
ADM,ARCHER DANIELS MIDLAND CO,0.058551
MLM,MARTIN MARIETTA MATERIALS,0.05854
KVUE,KENVUE INC,0.058114
WAT,WATERS CORP,0.05809
HIG,HARTFORD INSURANCE GROUP INC,0.058074
KMB,KIMBERLY CLARK CORP,0.057436
OXY,OCCIDENTAL PETROLEUM CORP,0.05743
CCI,CROWN CASTLE INC,0.057152
HBAN,HUNTINGTON BANCSHARES INC,0.057058
ON,ON SEMICONDUCTOR,0.056208
EME,EMCOR GROUP INC,0.056138
NDAQ,NASDAQ INC,0.055534
FANG,DIAMONDBACK ENERGY INC,0.055244
MTB,M + T BANK CORP,0.054977
ROP,ROPER TECHNOLOGIES INC,0.054001
ACGL,ARCH CAPITAL GROUP LTD,0.053706
STLD,STEEL DYNAMICS INC,0.052666
COIN,COINBASE GLOBAL INC  CLASS A,0.052458
Q,QNITY ELECTRONICS INC,0.052364
EQT,EQT CORP,0.052151
KR,KROGER CO,0.051813
AEE,AMEREN CORPORATION,0.051793
PAYX,PAYCHEX INC,0.050979
NTRS,NORTHERN TRUST CORP,0.050901
DTE,DTE ENERGY COMPANY,0.050833
BIIB,BIOGEN INC,0.050535
IQV,IQVIA HOLDINGS INC,0.05048
ZTS,ZOETIS INC,0.050471
EXR,EXTRA SPACE STORAGE INC,0.049868
NRG,NRG ENERGY INC,0.049855
CNC,CENTENE CORP,0.048718
DOV,DOVER CORP,0.048181
NTAP,NETAPP INC,0.047663
EXPE,EXPEDIA GROUP INC,0.047599
GEHC,GE HEALTHCARE TECHNOLOGY,0.047332
CFG,CITIZENS FINANCIAL GROUP,0.047103
VICI,VICI PROPERTIES INC,0.046999
TPR,TAPESTRY INC,0.046745
CNP,CENTERPOINT ENERGY INC,0.0466
EIX,EDISON INTERNATIONAL,0.04607
ATO,ATMOS ENERGY CORP,0.046018
RMD,RESMED INC,0.045966
IR,INGERSOLL RAND INC,0.045801
TDY,TELEDYNE TECHNOLOGIES INC,0.04577
CASY,CASEY S GENERAL STORES INC,0.045595
HAL,HALLIBURTON CO,0.045203
CINF,CINCINNATI FINANCIAL CORP,0.04506
LYV,LIVE NATION ENTERTAINMENT IN,0.044938
WSM,WILLIAMS SONOMA INC,0.044554
OTIS,OTIS WORLDWIDE CORP,0.044431
PPL,PPL CORP,0.044067
XYL,XYLEM INC,0.043797
ES,EVERSOURCE ENERGY,0.04366
PPG,PPG INDUSTRIES INC,0.04346
FICO,FAIR ISAAC CORP,0.043345
HUBB,HUBBELL INC,0.043248
CPRT,COPART INC,0.042838
DXCM,DEXCOM INC,0.04268
HSY,HERSHEY CO/THE,0.042081
SYF,SYNCHRONY FINANCIAL,0.041863
AVB,AVALONBAY COMMUNITIES INC,0.041795
FISV,FISERV INC,0.041721
DG,DOLLAR GENERAL CORP,0.041693
PHM,PULTEGROUP INC,0.041468
RJF,RAYMOND JAMES FINANCIAL INC,0.041152
AWK,AMERICAN WATER WORKS CO INC,0.040991
VEEV,VEEVA SYSTEMS INC CLASS A,0.040706
FSLR,FIRST SOLAR INC,0.040608
RF,REGIONS FINANCIAL CORP,0.040588
MTD,METTLER TOLEDO INTERNATIONAL,0.040189
CBOE,CBOE GLOBAL MARKETS INC,0.040185
LUV,SOUTHWEST AIRLINES CO,0.040131
WDAY,WORKDAY INC CLASS A,0.040033
FE,FIRSTENERGY CORP,0.039922
WTW,WILLIS TOWERS WATSON PLC,0.039672
WST,WEST PHARMACEUTICAL SERVICES,0.039218
SW,SMURFIT WESTROCK PLC,0.039012
DRI,DARDEN RESTAURANTS INC,0.038722
CMS,CMS ENERGY CORP,0.038342
VRSK,VERISK ANALYTICS INC,0.037768
MRNA,MODERNA INC,0.037589
TROW,T ROWE PRICE GROUP INC,0.037381
CHD,CHURCH + DWIGHT CO INC,0.037236
NI,NISOURCE INC,0.037127
DGX,QUEST DIAGNOSTICS INC,0.036756
EQR,EQUITY RESIDENTIAL,0.036512
ARES,ARES MANAGEMENT CORP   A,0.036416
TPL,TEXAS PACIFIC LAND CORP,0.036269
DLTR,DOLLAR TREE INC,0.035492
LH,LABCORP HOLDINGS INC,0.035234
FFIV,F5 INC,0.035178
VLTO,VERALTO CORP,0.034868
CPAY,CORPAY INC,0.034388
KEY,KEYCORP,0.033916
PKG,PACKAGING CORP OF AMERICA,0.033831
ULTA,ULTA BEAUTY INC,0.033652
EXE,EXPAND ENERGY CORP,0.033513
PFG,PRINCIPAL FINANCIAL GROUP,0.0335
STE,STERIS PLC,0.033469
CHRW,C.H. ROBINSON WORLDWIDE INC,0.033439
EXPD,EXPEDITORS INTL WASH INC,0.033264
WRB,WR BERKLEY CORP,0.03316
HPQ,HP INC,0.033127
VRSN,VERISIGN INC,0.03311
JBHT,HUNT (JB) TRANSPRT SVCS INC,0.03302
DOW,DOW INC,0.033
OMC,OMNICOM GROUP,0.032957
SNA,SNAP ON INC,0.032546
IP,INTERNATIONAL PAPER CO,0.032403
STZ,CONSTELLATION BRANDS INC A,0.032284
KHC,KRAFT HEINZ CO/THE,0.032115
LEN,LENNAR CORP W/D,0.031852
EVRG,EVERGY INC,0.031811
FIS,FIDELITY NATIONAL INFO SERV,0.031544
EL,ESTEE LAUDER COMPANIES CL A,0.031413
LNT,ALLIANT ENERGY CORP,0.031392
